"slug","name","profile"
"ccbc-11","CCBC 11",""
"ccbc-12","CCBC 12",""
"ccbc-13-14","CCBC 13/14",""
"fishunt","fishunt",""
"jhjm","江湖解谜",""
"joycup-2","亦乐杯 2",""
"mh-2023","MiaoHunt 2023",""
"pnku-1","P&KU 1",""
"pnku-2","P&KU 2",""
"pnku-3a","P&KU 3（上）",""
